trader_name,ticker,transaction_type,transaction_date,shares,value,price,company,role,filing_date,source,section,x,owned,δown,1d,1w,1m,6m,page,scraped_at
Siegel Ian H.,ZIP,S - Sale,2025-10-06,-29166,"-$116,223",$3.98,"Ziprecruiter, Inc.","CEO, 10%",2025-10-08 18:07:40,openinsider,ceo_sales_100k,M,451845,-6%,,,,,1,2025-10-14T11-58-19Z
Cannon-Brookes Michael,TEAM,S - Sale,2025-10-07,-7665,"-$1,134,640",$148.03,Atlassian Corp,"CEO, Co-Founder, 10%",2025-10-08 18:07:11,openinsider,ceo_sales_100k,,452235,-2%,,,,,1,2025-10-14T11-58-19Z
Piscitelli Dominic,ORIC,S - Sale+OE,2025-10-06,-11000,"-$159,719",$14.52,"Oric Pharmaceuticals, Inc.",CFO,2025-10-08 17:37:17,openinsider,ceo_sales_100k,D,48317,-19%,,,,,1,2025-10-14T11-58-19Z
Chacko Jacob,ORIC,S - Sale,2025-10-06,-37461,"-$461,520",$12.32,"Oric Pharmaceuticals, Inc.","Pres, CEO",2025-10-08 17:35:33,openinsider,ceo_sales_100k,,531419,-7%,,,,,1,2025-10-14T11-58-19Z
Hyep Ivan,BCAX,S - Sale+OE,2025-10-06,-30385,"-$553,198",$18.21,Bicara Therapeutics Inc.,CFO,2025-10-08 17:33:51,openinsider,ceo_sales_100k,DM,145355,-17%,,,,,1,2025-10-14T11-58-19Z
Janac K Charles,AIP,S - Sale,2025-10-06,-105755,"-$1,391,020",$13.15,"Arteris, Inc.","Pres, CEO, 10%",2025-10-08 17:20:41,openinsider,ceo_sales_100k,,9957082,-1%,,,,,1,2025-10-14T11-58-19Z
Smith Tricia D,URBN,S - Sale,2025-10-07,-3400,"-$237,204",$69.77,Urban Outfitters Inc,Global CEO Anthropologie Group,2025-10-08 17:03:06,openinsider,ceo_sales_100k,,10077,-25%,,,,,1,2025-10-14T11-58-19Z
Landy Samuel A,UMH,S - Sale+OE,2025-10-07,-20000,"-$283,800",$14.19,"Umh Properties, Inc.","Pres, CEO",2025-10-08 17:02:36,openinsider,ceo_sales_100k,D,1206066,-2%,,,,,1,2025-10-14T11-58-19Z
Rangan Yamini,HUBS,S - Sale,2025-10-06,-2387,"-$1,193,500",$500.00,Hubspot Inc,"CEO, Pres",2025-10-08 16:59:35,openinsider,ceo_sales_100k,,64447,-4%,,,,,1,2025-10-14T11-58-19Z
Bueker Kathryn,HUBS,S - Sale,2025-10-06,-615,"-$307,500",$500.00,Hubspot Inc,CFO,2025-10-08 16:58:00,openinsider,ceo_sales_100k,,38794,-2%,,,,,1,2025-10-14T11-58-19Z
Mat Ishbia,UWMC,S - Sale+OE,2025-10-07,-1192712,"-$6,434,681",$5.40,Uwm Holdings Corp,"Pres, CEO, 10%",2025-10-08 16:48:09,openinsider,ceo_sales_100k,DM,4243365,-22%,,,,,1,2025-10-14T11-58-19Z
Hartje Karen,SEZL,S - Sale,2025-10-06,-5484,"-$466,146",$85.00,Sezzle Inc.,CFO,2025-10-08 16:34:09,openinsider,ceo_sales_100k,,116053,-5%,,,,,1,2025-10-14T11-58-19Z
Rothblatt Martine A,UTHR,S - Sale+OE,2025-10-07,-8000,"-$3,610,769",$451.35,United Therapeutics Corp,"CHAIRPERSON, CEO",2025-10-08 16:31:44,openinsider,ceo_sales_100k,DM,644489,-1%,,,,,1,2025-10-14T11-58-19Z
Smith Patrick W,AXON,S - Sale,2025-10-07,-10000,"-$7,137,353",$713.74,"Axon Enterprise, Inc.",CEO,2025-10-08 16:30:54,openinsider,ceo_sales_100k,,3033982,0%,,,,,1,2025-10-14T11-58-19Z
Smith Mark Andrew,CMI,S - Sale+OE,2025-10-06,-8000,"-$3,514,402",$439.30,Cummins Inc,VP - CFO,2025-10-08 16:28:21,openinsider,ceo_sales_100k,D,31582,-20%,,,,,1,2025-10-14T11-58-19Z
Howe Elizabeth A.,SITM,S - Sale,2025-10-06,-5099,"-$1,626,581",$319.00,Sitime Corp,"EVP, CFO",2025-10-08 16:23:02,openinsider,ceo_sales_100k,,59070,-8%,,,,,1,2025-10-14T11-58-19Z
Benioff Marc,CRM,S - Sale+OE,2025-10-07,-2250,"-$540,486",$240.22,"Salesforce, Inc.","Chair, CEO",2025-10-08 16:15:26,openinsider,ceo_sales_100k,D,22018571,0%,,,,,1,2025-10-14T11-58-19Z
Mattke Timothy J.,MTG,S - Sale,2025-10-07,-139203,"-$3,771,677",$27.09,Mgic Investment Corp,CEO,2025-10-08 16:08:53,openinsider,ceo_sales_100k,,961791,-13%,,,,,1,2025-10-14T11-58-19Z
Iannone Jamie,EBAY,S - Sale,2025-10-06,-14442,"-$1,324,538",$91.71,Ebay Inc,"Pres, CEO",2025-10-08 16:07:04,openinsider,ceo_sales_100k,M,461059,-3%,,,,,1,2025-10-14T11-58-19Z
Laponis Adam,TWST,S - Sale,2025-10-06,-5875,"-$189,099",$32.19,Twist Bioscience Corp,CFO,2025-10-08 16:05:18,openinsider,ceo_sales_100k,,97042,-6%,,,,,1,2025-10-14T11-58-19Z
Leproust Emily M.,TWST,S - Sale+OE,2025-10-06,-31348,"-$1,008,998",$32.19,Twist Bioscience Corp,CEO,2025-10-08 16:05:16,openinsider,ceo_sales_100k,D,601212,-5%,,,,,1,2025-10-14T11-58-19Z
Wilson Thomas J,ALL,S - Sale,2025-10-06,-16807,"-$3,532,582",$210.19,Allstate Corp,"COB, Pres, CEO",2025-10-08 16:04:15,openinsider,ceo_sales_100k,,997758,-2%,,,,,1,2025-10-14T11-58-19Z
Dines Daniel,PATH,S - Sale,2025-10-08,-122734,"-$1,827,522",$14.89,"Uipath, Inc.","CEO, COB, 10%",2025-10-08 16:02:28,openinsider,ceo_sales_100k,,30894989,0%,,,,,1,2025-10-14T11-58-19Z
